,alpha,mfcc,model,number_of_bins,lower_freq,upper_freq,sample_rate,frame_step,frame_length,acuracy,size,latency
0,0.15,TRUE,cnn,16,20,4000,16000,128,320,84.875,27.118,46.33265972
1,0.15,TRUE,cnn,16,20,4000,16000,128,640,87.25,27.127,88.08185577
2,0.15,TRUE,cnn,16,20,4000,16000,128,840,86.625,27.094,86.0306859
3,0.15,TRUE,cnn,16,20,4000,16000,128,1020,90.125,27.108,87.01066017
4,0.15,TRUE,cnn,16,20,4000,16000,320,640,91,27.061,42.00458765
5,0.15,TRUE,cnn,16,20,4000,16000,320,840,90.25,27.093,42.7859664
6,0.15,TRUE,cnn,16,20,4000,16000,320,1020,89.875,27.097,41.6900444
7,0.15,TRUE,cnn,16,20,4000,16000,640,840,89.5,27.079,26.60131454
8,0.15,TRUE,cnn,16,20,4000,16000,640,1020,87.625,27.077,26.5984273
9,0.15,TRUE,cnn,16,20,4000,16000,840,1020,85.625,27.067,22.94189453
10,0.15,TRUE,cnn,40,20,4000,16000,128,320,83,27.118,51.95480347
11,0.15,TRUE,cnn,40,20,4000,16000,128,640,85,27.132,91.26556873
12,0.15,TRUE,cnn,40,20,4000,16000,128,840,85.875,27.137,90.19049644
13,0.15,TRUE,cnn,40,20,4000,16000,128,1020,88,27.114,90.09067774
14,0.15,TRUE,cnn,40,20,4000,16000,320,640,88.125,27.121,43.88917685
15,0.15,TRUE,cnn,40,20,4000,16000,320,840,89.875,27.074,44.00829315
16,0.15,TRUE,cnn,40,20,4000,16000,320,1020,88,27.088,43.26635122
17,0.15,TRUE,cnn,40,20,4000,16000,640,840,88.125,27.089,28.03516865
18,0.15,TRUE,cnn,40,20,4000,16000,640,1020,88.125,27.108,27.33645439
19,0.15,TRUE,cnn,40,20,4000,16000,840,1020,85.625,27.087,23.14362526
20,0.15,TRUE,ds_cnn,16,20,4000,16000,128,320,86.875,18.049,45.53434372
21,0.15,TRUE,ds_cnn,16,20,4000,16000,128,640,87.125,18.038,85.04160166
22,0.15,TRUE,ds_cnn,16,20,4000,16000,128,840,87.75,18.054,87.648139
23,0.15,TRUE,ds_cnn,16,20,4000,16000,128,1020,85.75,18.009,84.23959732
24,0.15,TRUE,ds_cnn,16,20,4000,16000,320,640,90.125,18.018,41.1870265
25,0.15,TRUE,ds_cnn,16,20,4000,16000,320,840,90.875,18.021,41.00747824
26,0.15,TRUE,ds_cnn,16,20,4000,16000,320,1020,91.25,18.008,39.72441435
27,0.15,TRUE,ds_cnn,16,20,4000,16000,640,840,88.875,18.018,26.65272713
28,0.15,TRUE,ds_cnn,16,20,4000,16000,640,1020,86.75,18.012,26.04720592
29,0.15,TRUE,ds_cnn,16,20,4000,16000,840,1020,85.875,18.018,22.4947381
30,0.15,TRUE,ds_cnn,40,20,4000,16000,128,320,84.75,18.064,51.30101919
31,0.15,TRUE,ds_cnn,40,20,4000,16000,128,640,86.625,18.053,90.45944452
32,0.15,TRUE,ds_cnn,40,20,4000,16000,128,840,86.25,18.058,89.9863863
